"title","publication","date","original_url","excerpt","category","priority"
"From meat and fish to vegetables: These 9 charts show how India eats","Hindustan Times","February 19, 2018","https://www.hindustantimes.com/india-news/from-meat-and-fish-to-vegetables-these-9-charts-reveal-how-india-eats/story-TuuBXEWSUh8rasldtnongP.html","How diverse is an average Indian’s diet? Do people eat better in villages or cities? What is the most-preferred food for non-vegetarians in India? Do Bengalis eat fish more frequently than other communities in India? What is the effect of gender on food habits?  Are fried food-items and aerated drinks more common in cities than villages? We have the answer.","",""
"How we get high: These 9 charts show smoking and drinking habits of Indians","Hindustan Times","February 20, 2018","https://www.hindustantimes.com/india-news/how-india-gets-high/story-rGIrZdK7uxpTwSdEO4XUlM.html","Do people smoke more bidis or cigarettes? What is the most preferred drink in India: whisky, beer or wine? How frequently do they drink? Does prohibition lead to significant reduction in alcohol consumption? How does wealth affect use of intoxicants in India? We have the answer.","",""
"How India spends on health","Hindustan Times","December 11, 2017","https://www.hindustantimes.com/india-news/how-india-spends-on-health/story-CPyiZZ4jcI4imSKJq03jBM.html ","Where Indian households spend on health? How does it compare with other countries? How much of the fund is utilised?","",""
"Gorakhpur tragedy a reminder of all that ails India’s public funds management","Hindustan Times","August 13, 2017","https://www.hindustantimes.com/india-news/gorakhpur-tragedy-a-reminder-of-all-that-ails-india-s-public-funds-management/story-eaF18bxl07mUBGe09fnVXP.html","Whether the deaths were a result of the oxygen shortage is now the subject of an investigation, but the way one of the biggest government-run hospitals in Gorakhpur — the home district of the chief minister — ran short of a critical resource points to a systemic problem in how public finances are managed in the country.","",""
"From daily tirade to radio silence, how Kejriwal stopped Modi-bashing on Twitter","Hindustan Times","October 27, 2017","https://www.hindustantimes.com/india-news/from-daily-tirade-to-radio-silence-how-kejriwal-stopped-modi-bashing-on-twitter/story-lFyZkY8N0OZ4ACpofesPDO.html","Delhi chief minister Arvind Kejriwal appears to have tamped down his Twitter tirade against Prime Minister Narendra Modi, an analysis of three years of data from the microblogging site shows, indicating a shift in his social media strategy.","",""
"One chart that shows how Rahul Gandhi is challenging Narendra Modi on Twitter, winning eyeballs","Hindustan Times","October 18, 2017","https://www.hindustantimes.com/india-news/one-chart-that-shows-how-rahul-gandhi-is-challenging-narendra-modi-on-twitter/story-0ybIrE0J9ZrD7CnDdwfEFO.html","According to a Hindustan Times analysis of nearly three years’ of tweets by three powerful rivals, people retweeted Gandhi in recent weeks more than Prime Minister Narendra Modi and Delhi chief minister Arvind Kejriwal.","",""
"Latest Aadhaar leak exposes security flaws in app developed by NIC","Hindustan Times","August 17, 2017","https://www.hindustantimes.com/india-news/latest-aadhaar-leak-exposes-security-flaws-in-app-developed-by-nic/story-aOIrolw9SOvgoZdaXFB5ZP.html","Crucial security flaws in the eHospital app developed by the National Informatics Centre (NIC) gave a Bengaluru-based software developer access to the Aadhaar numbers and personal details of thousands of citizens.","",""
"Days after Jharkhand breach, govtwebsites continue to bleed Aadhaar data","Hindustan Times","May 27, 2017","https://www.hindustantimes.com/india-news/days-after-jharkhand-breach-govt-websites-continue-to-bleed-aadhaar-data/story-B5dip7XwyWQsfDVut6zt3L.html","According to the Aadhaar act, it is illegal to publish Aadhaar numbers on a public platform. But numerous websites continued to do so.","",""
"How do people in developing countries spend their money?","Hindustan Times","May 9, 2017","https://www.hindustantimes.com/interactives/how-do-people-in-developing-countries-spend-money/","Data visualisation:  The interactive chart in the story shows how poor and rich households from 92 countries spend their money across 12 consumption sectors.","",""
"Three years of Modi government: What numbers tell us about the question of job creation in the economy","Hindustan Times","May 27, 2017","https://www.hindustantimes.com/india-news/3-yrs-of-modi-govt-initiatives-taken-on-jobs-front-but-more-needs-to-be-done/story-vxyjIUlLXM9dfcpOiXW1UM.html","When the Modi government completed three years in power, I reviewed multiple data sources and explained what we can say and what we can’t from publicly available employment data.","",""
"Despite the myth, ‘mitron’ is not Modi’s favourite word","Hindustan Times","March 28, 2017","https://www.hindustantimes.com/interactives/modi-mitron-speech-analysis/","Data can be fun: I looked at transcripts of every speech made by Modi in his official capacity as prime minister and found the words he used most often in his speeches. (It’s not Mitron!)","",""
"Opinion: IITs must not scrap departments that have low traction in the job market","Hindustan Times","August 8, 2017","https://www.hindustantimes.com/editorials/iits-should-not-scrap-unpopular-departments/story-xU48SgrgxukzcPZdCuBKCO.html","While students’ placement is important — and perhaps the most crucial aspect for the majority of students — it can’t be the primary objective of the country’s premier technical institutions.","",""
"Around the world with PM Modi: Track his trips and how much they cost","Hindustan Times","May 12, 2017","https://www.hindustantimes.com/interactives/modi-foreign-visits-map/","Data visualisation: Prime Minister Narendra Modi has flown 3.4 lakh kilometres, which is the equivalent of going eight-and-a-half times around the world, as part of official foreign trips from 2014 to 2017. We mapped his travels.","",""
"Do numbers bear out the theory of silent Muslim support for BJP in UP polls?","Hindustan Times","April 6, 2017","https://www.hindustantimes.com/assembly-elections/do-numbers-bear-out-the-theory-of-silent-muslim-support-for-bjp-in-up-polls/story-pWXcK1KQGyvkpP3cjU8EsK.html","Following the decisive victory of BJP in the 2017 Uttar Pradesh Assembly Elections, the “where did the Muslim vote go” question was dominating the political discourse.","",""
"What we know and what we do not know about pollution in India","Hindustan Times","January 3, 2018","https://www.hindustantimes.com/india-news/what-we-know-and-what-we-do-not-know-about-pollution-in-india/story-tS2QF3cyeR1Q9me90Lt59O.html","We looked at pollution data and found that country’s most polluted cities were largely in North India. We also show big gaps in air quality data.","",""
"From missing data to unreliable numbers, India’s statistical ecosystem needs an overhaul","Hindustan Times","September 21, 2017","https://www.hindustantimes.com/india-news/from-missing-data-to-unreliable-numbers-india-s-public-health-ecosystem-can-use-a-booster-shot/story-hXxUNmW9DBf7KdbIzlq1LP.html ","","",""
"The challenges with India’s open government data portal","Hindustan Times","September 22, 2017","https://www.hindustantimes.com/india-news/india-has-data-but-who-is-going-to-figure-it-out/story-TeGzDJapFNOIP09IyfbZ9I.html","The Indian government launched its data portal in 2012. But it does not fulfill all the stated goals yet.","",""
"Privacy debate, explained","Hindustan Times","August 24, 2017","https://www.hindustantimes.com/india-news/9-things-to-know-about-privacy-whatsapp-data-to-i-ve-nothing-to-hide-logic/story-804NFOPRPKAE2q7Z9vdtoI.html","A nine-point primer explaining the privacy debate.","",""
"Aadhaar gets new security features, but this is why your data still may not be safe","Hindustan Times","July 19, 2017","https://www.hindustantimes.com/india-news/aadhaar-gets-new-security-features-but-this-is-why-your-data-still-may-not-be-safe/story-RoZJAOUXtWZREr4V4M5TvK.html","As the government is pushing for the Aadhaar project to register everything from infant children to bank accounts, we report on the security vulnerabilities of Aadhaar biometrics.","",""
"Govt education spending falls short of HRD minister Prakash Javadekar’s mark","Hindustan Times","February 7, 2017","https://www.hindustantimes.com/india-news/govt-education-spending-falls-short-of-hrd-minister-prakash-javadekar-s-mark/story-aYHu8fNFUKBbwXxaX6Q7fJ.html","Publicly available data on eduction spending shows how India’s HRD Minister got his facts wrong.","",""
"Budget 2017: What finance minister Arun Jaitley said versus what the numbers show","Hindustan Times","February 2, 2017","https://www.hindustantimes.com/union-budget/budget-2017-what-finance-minister-arun-jaitley-said-versus-what-the-numbers-show/story-VHHjdo7p5XOMR99ya0ToeK.html","The budget is about policy, and the budget speech has to strike a balance with politics. How well do they match? In this piece, I place few announcements made by the Finance Miniser in 2017 Budget speech in context.","",""
"From JNU to Ramjas, can you separate fact from fiction","Hindustan Times","February 25, 2017","https://www.hindustantimes.com/interactives/quiz/jnu-ramjas-what-happened/","Take our quiz and identify facts from fiction.","",""
"How India picks its President, visually explalined","Hindustan Times","June 20, 2017","https://www.hindustantimes.com/interactives/how-india-president-elected-explainer/","","",""
"HT Women Empowerment Index","Hindustan Times","April 6, 2017","https://www.hindustantimes.com/interactives/women-empowerment-index/","Which is the best Indian state for women? Where are women empowered? T","",""
"Do police get away with rights violations?","The Hindu","September 12, 2016","http://www.thehindu.com/news/national/Do-police-get-away-with-rights-violations/article14634812.ece","India may not have enough safeguards to protect its citizens from human rights violations by the police, official data suggest.
    As many as 35,831 cases were registered against the police with the National Human Rights Commission (NHRC) in 2015-16, a figure that experts say is highly under-reported. And only 94 first information reports were registered in 2015, recently released data by the National Crime Records Bureau (NCRB) show.","",""
"On paper, electrified villages — in reality, darkness","The Hindu","March 26, 2016","https://www.thehindu.com/opinion/op-ed/On-paper-electrified-villages-%E2%80%94-in-reality-darkness/article14176223.ece","The Centre claims to be fulfilling the Prime Minister’s plan for full rural electrification. But a close check of its own real-time data shows that the gap between official claims and ground reality is stark","",""
"Tracking promises of the Aam Aadmi Party: After a year, where does it stand?","The Hindu","February 16, 2016","http://interactive.thehindu.com/aapmeter/","On February 14, 2015, following the landmark victory in Delhi Assembly Elections, grabbing 67 of the total 70 seats, the Aam Aadmi Party (AAP) – which called for ‘alternative politics’ and spoke of its commitment towards the common man – formed government in Delhi. Today, as the party completes one full year in office, The Hindu presents the AAP-Meter, where we have tracked the status of all the pre-poll promises made by AAP to the people of Delhi in its election manifesto.","",""
"Opinion: Trying and testing the car formula","The Hindu","January 12, 2016","https://www.thehindu.com/opinion/op-ed/Trying-and-testing-the-car-formula/article13994216.ece","While the Delhi government’s spirit of experimentation is to be lauded, the right lessons need to be learnt from the odd-even trial.","",""
"What ails India’s rural electrification scheme?","Hindustan Times","August 19, 2017","https://www.hindustantimes.com/india-news/the-challenges-of-india-s-grand-rural-electrification-scheme/story-pLilYKEh7At99BoSeERqXM.html","My ground report from Uttar Pradesh exploring the challenges confronting India’s rural electrification scheme.","",""
"Has India become more violent in the last 20 years?","The Hindu","December 11, 2016","https://www.thehindu.com/news/national/Has-India-become-more-violent-in-the-last-20-years/article16790286.ece","In the last two decades, have murders increased or have they shown a declining trend? Has India become more violent or more safe? Let’s test your perception.","",""
"The race to light the last village","The Hindu","August 27, 2016","https://www.thehindu.com/news/national/The-race-to-light-up-the-last-village/article14591396.ece ","I travelled to Rajasthan and my colleague went to Uttar Pradesh to explore how the rural electrification programme is operating on the ground.","",""
"AAP’s Mohalla Clinics: A thousand promises of prompt health care","The Hindu","August 27, 2016","https://www.thehindu.com/news/cities/Delhi/A-thousand-promises-of-prompt-health-care/article14531528.ece ","","",""
"What hinders our fight against pollution","The Hindu","January 5, 2017","https://www.thehindu.com/news/cities/Delhi/Pollution-problem-rules-tough-but-implementation-weak/article16989854.ece","Winter has set in and pollution levels are once again soaring in Delhi. Even after a slew of measures were announced by the government, little seems to have improved. So what is it that is missing, or hinders, our fight against pollution?","",""
"What numbers tell us about open defecation in India","The Hindu","October 2, 2016","https://www.thehindu.com/news/national/What-numbers-tell-us-about-Open-Defecation-in-India/article15080583.ece","","",""
"How many Indians are richer than you","The Hindu","May 3, 2016","https://www.thehindu.com/data/how-many-indians-are-richer-than-you/article8551773.ece","","",""
"Interpreters of Maladies: Why quacks reign in rural India","The Hindu","July 30, 2016","https://www.thehindu.com/features/magazine/Interpreters-of-maladies/article14517155.ece ","","",""
"On the maggi controversy: How labelling cooked Maggi’s goose","The Hindu","June 14, 2015","https://www.thehindu.com/news/national/no-added-msg-claim-did-maggi-in/article7313318.ece","","",""
"How MPs spend their funds, explained","The Hindu","June 5, 2015","https://www.thehindu.com/data/how-do-mps-spend-their-funds/article10864371.ece","","",""
"How Twitter helped create brand Modi","The Hindu","March 7, 2016","https://www.thehindu.com/data/how-twitter-helped-create-brand-modi/article8321800.ece","","",""
"What your name says about your age","The Hindu","January 20, 2016","https://www.thehindu.com/data/What-your-name-says-about-your-age/article14010125.ece ","","",""
"What’s in a name, finally some numbers","The Hindu","January 17, 2016","https://www.thehindu.com/data/Whats-in-a-name-Finally-some-numbers/article14003189.ece ","","",""
"Sushma Swaraj, the common tweeple’s leader","The Hindu","July 5, 2016","https://www.thehindu.com/data/Sushma-Swaraj-the-common-tweeple%E2%80%99s-leader/article14471070.ece","","",""
